,0
0,Delaware
1,Michigan
2,Kansas
3,Mississippi
4,Wisconsin
5,Illinois
6,Nebraska
7,South Dakota
8,Hawaii
9,Maine
10,Minnesota
11,Alabama
12,Colorado
13,Missouri
14,Nevada
15,South Carolina
16,Connecticut
17,Oklahoma
18,Maryland
19,West Virginia
20,New Jersey
21,North Carolina
22,New York
23,Georgia
24,Louisiana
25,Florida
26,North Dakota
27,Vermont
28,Arizona
29,Indiana
30,Wyoming
31,Montana
32,Massachusetts
33,New Mexico
34,Washington
35,Arkansas
36,Rhode Island
37,Kentucky
38,Pennsylvania
39,Virginia
40,Oregon
41,Iowa
42,New Hampshire
43,Tennessee
44,Idaho
